<#63ded7>:CHAVA / INGENIERIA EN SISTEMAS:</>

<#f0db91>:Ataques:</>
Golpe derecho / izquierdo			^X
Mochilazo sube / baja			^Y
Patada				^A
Patada fuerte				^B
Golpes agachado			_D_+^X / ^Y
Patada baja / barrida			_D_+^A / ^B
Ataques aereos			_AIR_^X / ^Y / ^A / ^B

<#f0db91>:Movimiento:</>
Correr				_F_F
Salto atras				_B_B
Bloquear				_B / _DB

<#63ded7>:Especial - Asistente IA (1000):</>
Invocar IA				_QDF^X_+^Y
Atajo de IA				^Z

Un golpe ligero que conecta puede continuar en uno fuerte.
Pulsa otra vez el mismo boton para encadenar la variante.
La IA aparece y dispara cinco rafagas de codigo bloqueables.
